value,name,description
water_quality,Water quality and sediment management,
coastal_flood,Coastal flood risk reduction,
pluvial_flood,Pluvial flood risk reduction,
riverine_flood,Riverine flood risk reduction,
resources_production,Resources production,
tourism_recreation,Tourism and recreation,
carbon_storage,Carbon storage and sequestration,
economic,Stimulate local economies and job creation,
health,Human health,
education,Education,
biodiversity,Biodiversity,
cultural,Cultural,
social_interaction,Social interaction,
