name,slug,description,hazard_type,exposure_type,cost_type,cost,annual_upkeep,priority,percentage_coverage,percentage_effectiveness,is_coastal,max_distance_from_coast,hazard_cutoff,hazard_change_multiplier,hazard_change_constant,cobenefits,units_currency,units_hazard,units_distance,user_generated
Mangroves,mangroves_tc_people,"Mangroves are coastal forests that protect communities from damaging waves during storms. As waves pass through the mangroves, they lose energy, making the waves smaller and less likely to cause flooding further inland. Mangroves are also a great natural solution, increasing carbon storage, biodiversity, and even tourism in the region. They won't be an appropriate solution everywhere as they can disrupt existing coastal industries such as fish farming.",tropical_cyclone,people,whole_project,20000000,0,even_coverage,100,100,1,6,0,1.05,0,"coastal_flood,carbon_storage,biodiversity",USD,m/s,km,FALSE
Mangroves,mangroves_tc_economic,"Mangroves are coastal forests that protect communities from damaging waves during storms. As waves pass through the mangroves, they lose energy, making the waves smaller and less likely to cause flooding further inland. Mangroves are also a great natural solution, increasing carbon storage, biodiversity, and even tourism in the region. They won't be an appropriate solution everywhere as they can disrupt existing coastal industries such as fish farming.",tropical_cyclone,economic_assets,whole_project,20000000,0,even_coverage,100,100,1,6,0,1.05,0,"coastal_flood,carbon_storage,biodiversity",USD,m/s,km,FALSE
Sea walls,sea_walls_tc_people,"Sea walls are large artifical structures along lengths of coastline designed to stop storm surge and waves from causing flooding. While expensive, they are effective, although they can interfere with coastal ecosystems.",tropical_cyclone,people,whole_project,400000000,0,even_coverage,100,100,1,6,0,1.1,0,coastal_flood,USD,m/s,km,FALSE
Sea walls,sea_walls_tc_economic,"Sea walls are large artifical structures along lengths of coastline designed to stop storm surge and waves from causing flooding. While expensive, they are effective, although they can interfere with coastal ecosystems.",tropical_cyclone,economic_assets,whole_project,400000000,0,even_coverage,100,100,1,6,0,1.1,0,coastal_flood,USD,m/s,km,FALSE
Building codes,building_codes_tc_people,"Improving building codes and providing funding for retrofitting can take time to implement, but ensures that communities are protected from tropical cyclones below a certain intensity.",tropical_cyclone,people,whole_project,500000000,0,even_coverage,100,100,0,0,43,1,0,,USD,m/s,km,FALSE
Building codes,building_codes_tc_economic,"Increasing green cover in a city creates shade to keep people of of direct sun while in the street, and evapotranspirative cooling from the leaves which reduces the temperatures locally. Urban greening is a biodiverse solution which can also reduce flooding risk and improve neighborhood values and wellbeing.",tropical_cyclone,economic_assets,whole_project,500000000,0,even_coverage,100,100,0,0,43,1,0,,USD,m/s,km,FALSE
Improved evacuations,evacuations_tc_people,"Evacuations during extreme events save lives, but evacuation orders need to be well-communicated to vulnerable communities, and people need a place to evacuate to that they can afford and where they feel safe.",tropical_cyclone,people,whole_project,30000000,0,even_coverage,100,100,0,0,43,1.1,0,,USD,m/s,km,FALSE
Urban greening,urban_greening_eh_people,"Increasing green cover in a city creates shade to keep people of of direct sun while in the street, and evapotranspirative cooling from the leaves which reduces the temperatures locally. Urban greening is a biodiverse solution which can also reduce flooding risk and improve neighborhood values and wellbeing. The benefits of tree cover are very dependent on the trees planted and local climate.",extreme_heat,people,whole_project,50000000,0,even_coverage,100,100,0,0,0,1,-0.8,"pluvial_flood,carbon_storage,biodiversity,human_health",USD,degC,km,FALSE
Green roofs,green_roofs_eh_people,"Covering roofs with greenery helps to cool neighborhoods through plants' evapotranspirative cooling. Green roofs are also a biodiversity reservoir and can store heavy rain, reducing street flooding during storms. Green roofs are only suitable in certain climates and with a regular water supply.",extreme_heat,people,whole_project,100000000,0,even_coverage,100,100,0,0,0,1,-0.5,"pluvial_flood,carbon_storage,biodiversity",USD,degC,km,FALSE
Painted roofs,painted_roofs_eh_people,"In very sunny climates, painting roofs with white paint can reflect incoming sunlight back into space, cooling the building and the neighborhood.",extreme_heat,people,whole_project,8000000,0,even_coverage,100,100,0,0,0,1,-0.8,,USD,degC,km,FALSE
Better warnings,warnings_eh_people,"Improved heat warnings, are more accessible and make sure that the people who are most vulnerable to extreme heat are aware of the risks. This is a complex, ongoing task.",extreme_heat,people,whole_project,15000000,0,even_coverage,100,100,0,0,0,1.1,0,,USD,degC,km,FALSE
Local support networks,local_support_eh_people,"By investing in community protection schemes, neighborhoods can be made aware of who is most vulnerable during a heatwave and can take steps to support them.",extreme_heat,people,whole_project,2000000,0,even_coverage,100,100,0,0,0,1.1,0,"social_interaction,human_health",USD,degC,km,FALSE
Labor laws,labor_laws_eh_people,"Heat-specific labor laws can prevent illness and death among people doing physically active work outdoors. Changes include stopping work above a certain temperature, or enforcing water breaks on hot days.",extreme_heat,people,whole_project,2000000,0,even_coverage,100,100,0,0,40,1,0,human_health,USD,degC,km,FALSE
